Entity,Code,Year,Legislature,Religious leaders,Business executives,Judges and magistrates,Police,Government officials,Local government councillors,Prime Minister / President,Tax officials,Traditional leaders
Afghanistan,AFG,2013,40,20,35,60,33,43,,,,
Africa,,2013,61,22,48,74,88,67,,,,
Africa,,2015,33,15,42,34,47,38,33,31,37,21
Albania,ALB,2013,66,9,29,81,58,52,,,,
Algeria,DZA,2013,62,15,74,72,66,62,,,,
Argentina,ARG,2013,72,34,49,65,70,77,,,,
Armenia,ARM,2013,57,39,51,69,66,68,,,,
Asia Pacific,,2013,54,27,39,45,63,55,,,,
Asia Pacific,,2017,37,18,29,25,39,35,35,31,29,
Australia,AUS,2013,36,44,47,28,33,35,,,,
Australia,AUS,2017,12,17,20,4,5,12,,,,
Azerbaijan,AZE,2013,29,26,35,42,41,37,,,,
Bangladesh,BGD,2013,41,4,18,53,64,29,,,,
Belgium,BEL,2013,51,56,41,43,41,51,,,,
Bolivia,BOL,2013,68,19,33,76,86,69,,,,
Bosnia and Herzegovina,BIH,2013,67,33,52,65,62,67,,,,
Brazil,BRA,2013,72,31,35,50,70,46,,,,
Bulgaria,BGR,2013,71,49,63,86,65,64,,,,
Burundi,BDI,2013,15,1,40,69,82,49,,,,
Cambodia,KHM,2013,16,6,20,60,37,30,,,,
Cambodia,KHM,2017,26,6,25,59,51,44,,,,
Cameroon,CMR,2013,62,32,54,81,86,72,,,,
Canada,CAN,2013,47,33,48,25,27,38,,,,
Chile,CHL,2013,68,45,65,67,53,58,,,,
China,CHN,2017,8,,10,9,12,9,,,,
Colombia,COL,2013,79,37,38,64,61,70,,,,
Croatia,HRV,2013,63,31,50,70,51,64,,,,
Cyprus,CYP,2013,76,44,37,38,76,59,,,,
Czechia,CZE,2013,59,17,45,52,54,71,,,,
Democratic Republic of Congo,COD,2013,84,25,68,87,86,85,,,,
Denmark,DNK,2013,18,39,31,5,9,11,,,,
Egypt,EGY,2013,71,31,48,65,78,76,,,,
El Salvador,SLV,2013,70,31,46,81,87,76,,,,
Estonia,EST,2013,33,12,41,26,17,38,,,,
Ethiopia,ETH,2013,23,27,29,35,42,35,,,,
Europe and Central Asia,,2013,61,31,49,57,50,56,,,,
Europe and Central Asia,,2016,31,17,26,24,22,30,26,25,25,
Fiji,FJI,2013,35,22,55,30,45,49,,,,
Finland,FIN,2013,31,15,42,9,5,25,,,,
France,FRA,2013,52,31,61,34,41,48,,,,
Georgia,GEO,2013,34,8,28,51,26,26,,,,
Germany,DEU,2013,48,34,61,20,20,49,,,,
Ghana,GHA,2013,57,21,38,71,92,59,,,,
Greece,GRC,2013,83,49,65,66,56,66,,,,
Hong Kong,HKG,2017,15,7,21,5,16,11,,,,
Hungary,HUN,2013,56,20,63,33,38,36,,,,
India,IND,2013,65,44,50,45,75,65,,,,
India,IND,2017,33,33,38,25,54,45,,,,
Indonesia,IDN,2013,89,31,54,86,91,79,,,,
Indonesia,IDN,2017,54,7,25,32,40,50,,,,
Iraq,IRQ,2013,34,11,23,26,30,32,,,,
Israel,ISR,2013,,73,49,33,51,60,,,,
Italy,ITA,2013,77,39,52,47,27,61,,,,
Jamaica,JAM,2013,74,19,36,47,86,46,,,,
Japan,JPN,2013,76,74,41,29,61,66,,,,
Japan,JPN,2017,31,36,19,3,8,26,,,,
Kazakhstan,KAZ,2013,27,15,40,63,66,53,,,,
Kenya,KEN,2013,68,15,29,58,95,59,,,,
Kosovo,OWID_KOS,2013,66,17,52,80,39,44,,,,
Kyrgyzstan,KGZ,2013,77,25,57,89,90,90,,,,
Latin America and the Caribbean,,2013,71,31,44,67,75,64,,,,
Latin America and the Caribbean,,2017,47,25,36,40,47,37,45,43,36,
Latvia,LVA,2013,56,13,46,48,47,63,,,,
Lebanon,LBN,2013,68,65,68,69,65,68,,,,
Liberia,LBR,2013,96,22,78,89,94,67,,,,
Libya,LBY,2013,38,44,31,35,48,48,,,,
Lithuania,LTU,2013,80,20,56,79,67,69,,,,
Luxembourg,LUX,2013,33,44,48,24,29,40,,,,
Madagascar,MDG,2013,62,11,42,89,87,77,,,,
Malawi,MWI,2013,64,24,62,75,95,82,,,,
Malaysia,MYS,2013,44,6,40,35,76,46,,,,
Malaysia,MYS,2017,41,31,46,33,57,45,,,,
Maldives,MDV,2013,78,30,42,69,47,45,,,,
Mexico,MEX,2013,83,43,51,80,90,87,,,,
Middle East and North Africa,,2013,60,38,54,60,65,61,,,,
Middle East and North Africa,,2016,45,19,40,31,34,45,40,33,45,29
Moldova,MDA,2013,75,20,53,80,76,66,,,,
Mongolia,MNG,2013,63,11,45,73,66,77,,,,
