,Year,Human Rights
2593,1946,-1.821142873
2594,1947,-1.850047223
2595,1948,-2.023491871
2596,1949,-2.126681864
2597,1950,-2.179230406
2598,1951,-2.201784912
2599,1952,-2.186674932
2600,1953,-2.149321402
2601,1954,-2.128780237
2602,1955,-2.113522707
2603,1956,-2.101418008
2604,1957,-2.0920199619999997
2605,1958,-2.078009883
2606,1959,-2.07429286
2607,1960,-2.063264118
2608,1961,-2.040629109
2609,1962,-1.997339755
2610,1963,-1.9142629430000002
2611,1964,-1.749041991
2612,1965,-1.645826697
2613,1966,-1.5719978030000001
2614,1967,-1.488467225
2615,1968,-1.353892043
2616,1969,-1.10462361
2617,1970,-0.9682325490000001
2618,1971,-0.8717420690000001
2619,1972,-0.8155479640000001
2620,1973,-0.7897442309999999
2621,1974,-0.7767696559999999
2622,1975,-0.7904559879999999
2623,1976,-0.8195952759999999
2624,1977,-0.866638661
2625,1978,-0.910099575
2626,1979,-0.969545323
2627,1980,-1.0498674479999999
2628,1981,-1.086250909
2629,1982,-0.973328202
2630,1983,-0.8123163309999999
2631,1984,-0.787551837
2632,1985,-0.766849263
2633,1986,-0.817013361
2634,1987,-0.7426135970000001
2635,1988,-0.660185479
2636,1989,-0.627289364
2637,1990,1.601556959
2638,1991,1.602505922
2639,1992,1.5313514990000001
2640,1993,1.514442881
2641,1994,1.369081894
2642,1995,1.2684125929999999
2643,1996,1.432483835
2644,1997,1.491244454
2645,1998,1.446447164
2646,1999,1.4261197069999998
2647,2000,1.42042277
2648,2001,1.4440429
2649,2002,1.5791896330000001
2650,2003,1.5215414269999998
2651,2004,1.388787024
2652,2005,1.4439157130000002
2653,2006,1.685443121
2654,2007,1.91219203
2655,2008,2.178713353
2656,2009,2.3812733980000003
2657,2010,2.623814455
2658,2011,2.751020075
2659,2012,2.809864293
2660,2013,2.8739834789999996
2661,2014,2.9214502089999996
2662,2015,2.9584206319999997
2663,2016,2.985196893
2664,2017,2.9882536789999996
