,Year,Human Rights
7718,1946,0.720236465
7719,1947,0.770232115
7720,1948,0.833843185
7721,1949,0.85366414
7722,1950,0.8859126359999999
7723,1951,0.8893224359999999
7724,1952,0.922037247
7725,1953,0.935867115
7726,1954,0.961128819
7727,1955,1.02124341
7728,1956,1.110327238
7729,1957,1.145881502
7730,1958,1.166788346
7731,1959,1.1682787909999999
7732,1960,1.1903752140000001
7733,1961,1.244940811
7734,1962,1.285834944
7735,1963,1.2931631000000001
7736,1964,1.283974438
7737,1965,1.293955192
7738,1966,1.3239842590000002
7739,1967,1.3773549580000002
7740,1968,1.4529806969999999
7741,1969,1.51989424
7742,1970,1.556570571
7743,1971,1.574579055
7744,1972,1.578153085
7745,1973,1.59216869
7746,1974,1.578254001
7747,1975,1.607227224
7748,1976,1.658913974
7749,1977,1.734104875
7750,1978,1.8203234769999999
7751,1979,1.900247802
7752,1980,2.010263274
7753,1981,2.098056372
7754,1982,2.152847403
7755,1983,2.227197517
7756,1984,2.276785024
7757,1985,2.323357007
7758,1986,2.32714122
7759,1987,2.302614399
7760,1988,2.430821798
7761,1989,2.535391416
7762,1990,2.600073454
7763,1991,2.7680905339999997
7764,1992,2.905931872
7765,1993,3.026161881
7766,1994,3.122824727
7767,1995,3.331491432
7768,1996,3.4842445539999995
7769,1997,3.62548771
7770,1998,3.7380062000000005
7771,1999,3.82375099
7772,2000,3.868075621
7773,2001,3.8950824010000002
7774,2002,3.924312458
7775,2003,3.948649138
7776,2004,3.946112382
7777,2005,3.9437776760000003
7778,2006,3.9288528960000004
7779,2007,3.8982653789999997
7780,2008,3.8416310510000002
7781,2009,3.889413694
7782,2010,3.9275688160000004
7783,2011,3.950278959
7784,2012,3.97089468
7785,2013,3.97150572
7786,2014,3.988130421
7787,2015,4.003241489
7788,2016,4.005589025
7789,2017,4.003323818999999
