,Year,Human Rights
9620,1946,-0.6015518870000001
9621,1947,-0.646092431
9622,1948,-0.699319585
9623,1949,-0.6976027490000001
9624,1950,-0.656968198
9625,1951,-0.643378466
9626,1952,-0.641735336
9627,1953,-0.592452169
9628,1954,-0.572468643
9629,1955,-0.5538044089999999
9630,1956,-0.543995049
9631,1957,-0.541163765
9632,1958,-0.538629484
9633,1959,-0.555884777
9634,1960,-0.587069945
9635,1961,-0.569535796
9636,1962,-0.560516546
9637,1963,-0.5632395720000001
9638,1964,-0.531770969
9639,1965,-0.506838331
9640,1966,-0.48989796399999996
9641,1967,-0.46385132
9642,1968,-0.452554525
9643,1969,-0.442232277
9644,1970,-0.44244520600000004
9645,1971,-0.450827905
9646,1972,-0.454621082
9647,1973,-0.450873543
9648,1974,-0.472542777
9649,1975,-0.43695
9650,1976,-0.335773736
9651,1977,0.028254041
9652,1978,0.149180617
9653,1979,0.143104461
9654,1980,0.0027332309999999996
9655,1981,0.07627688099999999
9656,1982,0.037383449
9657,1983,0.052178867999999996
9658,1984,0.14481365
9659,1985,0.13312421
9660,1986,0.220716574
9661,1987,0.411991279
9662,1988,0.6957195420000001
9663,1989,0.8123935990000001
9664,1990,0.839804378
9665,1991,0.924614888
9666,1992,0.737876909
9667,1993,0.5967750079999999
9668,1994,0.37542728399999997
9669,1995,0.276575284
9670,1996,0.209060811
9671,1997,0.336077676
9672,1998,0.532746632
9673,1999,0.69568917
9674,2000,0.706506053
9675,2001,0.580222232
9676,2002,0.37084932299999995
9677,2003,0.396120971
9678,2004,0.504837626
9679,2005,0.610570685
9680,2006,0.677771784
9681,2007,0.6816906220000001
9682,2008,0.791329278
9683,2009,1.114149657
9684,2010,1.408245901
9685,2011,1.521917292
9686,2012,1.571123668
9687,2013,1.626534876
9688,2014,1.554567873
9689,2015,1.432332097
9690,2016,1.270750058
9691,2017,1.191515174
