,Entity,Year,Average_Years_Education
6477,Spain,1940,3.05
6478,Spain,1945,3.21
6479,Spain,1950,3.47
6480,Spain,1955,3.45
6481,Spain,1960,3.72
6482,Spain,1965,4.08
6483,Spain,1970,4.34
6484,Spain,1975,5.13
6485,Spain,1980,5.74
6486,Spain,1985,6.13
6487,Spain,1990,6.52
6488,Spain,1991,6.4
6489,Spain,1992,6.7
6490,Spain,1993,7.1
6491,Spain,1994,7.4
6492,Spain,1995,7.7
6493,Spain,1996,7.9
6494,Spain,1997,8.0
6495,Spain,1998,8.1
6496,Spain,1999,8.2
6497,Spain,2000,8.4
6498,Spain,2001,8.5
6499,Spain,2002,8.5
6500,Spain,2003,8.6
6501,Spain,2004,8.6
6502,Spain,2005,8.9
6503,Spain,2006,9.0
6504,Spain,2007,9.1
6505,Spain,2008,9.2
6506,Spain,2009,9.3
6507,Spain,2010,9.4
6508,Spain,2011,9.5
6509,Spain,2012,9.5
6510,Spain,2013,9.5
6511,Spain,2014,9.7
6512,Spain,2015,9.7
6513,Spain,2016,9.8
6514,Spain,2017,9.8
