,Entity,Year,Share of education
583,Czechia,1996,9.2475405
584,Czechia,1998,8.54842
585,Czechia,1999,8.9085302
586,Czechia,2000,8.9122896
587,Czechia,2001,8.6764603
588,Czechia,2002,8.864800500000001
589,Czechia,2003,8.3826599
590,Czechia,2004,9.4330702
591,Czechia,2005,9.2029696
592,Czechia,2006,10.19694
593,Czechia,2007,9.5769501
594,Czechia,2008,9.2146397
595,Czechia,2009,9.4373302
596,Czechia,2010,9.3404903
597,Czechia,2011,9.927180300000002
598,Czechia,2012,9.5568504
599,Czechia,2013,9.6024399
600,Czechia,2014,9.457799900000001
601,Czechia,2015,9.882520000000001
