,Entity,Year,Share of education
1712,Norway,1981,14.61961
1713,Norway,1982,14.66192
1714,Norway,1983,14.44329
1715,Norway,1984,14.196110000000001
1716,Norway,1985,14.188479999999998
1717,Norway,1986,14.15717
1718,Norway,1987,14.388860000000001
1719,Norway,1988,13.30521
1720,Norway,1989,14.016070000000001
1721,Norway,1990,14.021070000000002
1722,Norway,1991,13.846979999999999
1723,Norway,1992,13.79062
1724,Norway,1993,15.88272
1725,Norway,1994,16.49992
1726,Norway,1995,16.890791
1727,Norway,1996,15.986939999999999
1728,Norway,1997,16.199539
1729,Norway,1998,15.53134
1730,Norway,1999,15.12919
1731,Norway,2000,15.772620000000002
1732,Norway,2001,15.92199
1733,Norway,2002,16.258329
1734,Norway,2003,15.68493
1735,Norway,2004,16.4396
1736,Norway,2005,16.548379999999998
1737,Norway,2006,15.864870000000002
1738,Norway,2007,15.99489
1739,Norway,2008,15.85855
1740,Norway,2009,15.64057
1741,Norway,2010,15.227329999999998
1742,Norway,2011,14.95735
1743,Norway,2012,17.429648999999998
1744,Norway,2013,17.268909
1745,Norway,2014,17.04335
1746,Norway,2015,15.72807
